brand,name,fragrantica_url,gender,concentration,release_year,main_accords,notes_top,notes_heart,notes_base,notes_undifferentiated,longevity,sillage,season_winter_votes,season_spring_votes,season_summer_votes,season_fall_votes,day_votes,night_votes,fragrantica_rating
giorgio armani,Acqua di Giò Elixir,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Elixir-101438.html,homme,,2025,aquatic;citrus;ozonic;fresh spicy;woody;leather;aromatic;patchouli;green;earthy,Bergamot;Green Mandarin;Nutmeg,Violet Leaf;Water Notes,Leather;Patchouli;Vetiver;Labdanum,,,,298,874,902,679,840,682,4.14
giorgio armani,Acqua di Gio Essenza,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Essenza-14825.html,homme,,2012,fresh spicy;aromatic;citrus;fresh;aquatic;woody;floral;amber;herbal;green,Water Notes;Bergamot;Grapefruit;Calone,Basil;Floral Notes;Jasmine;Sage,Pepper;Cedar;Musk;Vetiver;Ambergris;Clary Sage;Amber;Patchouli,,,,197,1100,1400,448,1300,529,4.33
giorgio armani,Acqua di Giò Parfum,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Parfum-81508.html,homme,Parfum,2023,aromatic;fresh spicy;marine;woody;citrus;amber;patchouli;warm spicy,Marine notes;Bergamot,Rosemary;Clary Sage;Geranium,Olibanum;Patchouli,,,,1200,4400,4800,2800,4300,2900,4.44
giorgio armani,Acqua di Giò Profondo,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profondo-59532.html,homme,,2020,marine;aromatic;citrus;fresh spicy;fresh;woody;mineral;salty;lavender,Sea Notes;Aquozone;Bergamot;Green Mandarin,Rosemary;Lavender;Cypress;Mastic or Lentisque,Mineral notes;Musk;Patchouli;Amber,,,,798,6800,8600,2100,7400,2400,4.33
giorgio armani,Acqua di Giò Profondo Eau de Parfum (2024),https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profondo-Eau-de-Parfum-2024-105624.html,homme,Eau de Parfum,2024,aromatic;marine;citrus;woody;mineral;fresh spicy;salty;lavender;amber;aquatic,Sea Notes;Green Mandarin,Rosemary;Lavender,Mineral notes;Ambergris;Musk;Cedar;Patchouli,,,,94,1100,1300,295,1100,308,4.45
giorgio armani,Acqua di Giò Profondo Eau de Toilette,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profondo-Eau-de-Toilette-106317.html,homme,Eau de Toilette,2025,citrus;fresh;woody;aromatic;mineral;ozonic;lavender;fresh spicy;warm spicy;patchouli,Lemon;Grapefruit;Spices,Calone;Lavender;Cypress,Mineral notes;Woody Notes;Patchouli,,,,21,254,362,64,325,81,4.05
giorgio armani,Acqua di Giò Profondo Lights,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profondo-Lights-66265.html,homme,,2021,aromatic;woody;fresh spicy;marine;citrus,Sea Notes;Green Mandarin;Cardamom,Rosemary;Balsam Fir;Cypress;Mastic or Lentisque;Lavender Extract,Cedar;Vetiver;Patchouli,,,,54,396,466,193,414,188,4.11
giorgio armani,Acqua di Giò Profondo Parfum,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profondo-Parfum-90451.html,homme,Parfum,2024,marine;citrus;aromatic;patchouli;yellow floral;salty;woody;amber;aquatic;powdery,Marine notes;Green Mandarin,Mimosa,Patchouli;Labdanum,,,,184,1200,1500,522,1300,592,3.99
giorgio armani,Acqua di Giò Profumo,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profumo-29727.html,homme,,2015,aromatic;marine;fresh spicy;amber;woody;smoky;warm spicy;citrus;balsamic;patchouli,Sea Notes;Bergamot,Rosemary;Sage;Geranium,Incense;Patchouli,,,,3500,9000,9400,6800,8800,7700,4.43
giorgio armani,Acqua di Gio Profumo Special Blend,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profumo-Special-Blend-46467.html,homme,,2017,aromatic;fresh spicy;marine;woody;patchouli;warm spicy;amber;balsamic;smoky;herbal,Sea Notes;Bergamot,Sage;Rosemary;Geranium,Patchouli;Incense,,,,109,176,149,164,170,163,4.38
giorgio armani,Acqua di Gioia,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gioia-8442.html,femme,,2010,citrus;aromatic;green;white floral;fresh spicy;woody;fresh,Amalfi Lemon;Mint,Water Jasmine,Virginia Cedar;Brown sugar;French labdanum,,,,851,5100,7600,1100,7400,1200,3.93
giorgio armani,Acqua di Gioia Eau de Parfum Satinee,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gioia-Eau-de-Parfum-Satinee-14402.html,femme,Eau de Parfum,2012,fresh;green;citrus;aquatic;aromatic;white floral;floral;woody;fresh spicy,Mint;Mojito;Amalfi Lemon,Water Notes;Jasmine;Peony;Pink Pepper,Virginia Cedar;French labdanum,,,,17,60,105,15,108,29,4.06
giorgio armani,Acqua di Gioia Eau de Toilette,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gioia-Eau-de-Toilette-24452.html,femme,Eau de Toilette,2014,fresh;citrus;fruity;floral;aquatic;woody;white floral;ozonic;sweet;aromatic,Lemon;Pear;Violet Leaf;Black Currant,Peony;Jasmine Sambac;Jasmine,Cedar;Cashmere Wood,,,,26,227,341,47,327,47,3.89
giorgio armani,Acqua Di Gioia Eau Fraiche,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-Di-Gioia-Eau-Fraiche-17566.html,femme,Eau Fraiche,2013,citrus;aquatic;fresh;sweet;white floral;green;aromatic,Lemon;Grapefruit;Mandarin Orange,Watery Notes;Water Jasmine;Tea;Ylang-Ylang,Brown sugar;Musk;Cedar,,,,61,406,565,97,570,85,4.00
giorgio armani,Acqua di Gioia Essenza,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gioia-Essenza-12402.html,femme,,2011,sweet;white floral;green;aromatic;woody;citrus;musky;vanilla;fresh spicy;powdery,Mint;Amalfi Lemon;Pink Pepper,Jasmine,Sugar;Cashmeran;Virginia Cedar,,,,86,288,339,116,392,134,3.84
giorgio armani,Acqua di Gioia Hair & Body Mist,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gioia-Hair-Body-Mist-50128.html,femme,,2018,floral;fresh;aromatic;green;woody;citrus;sweet;white floral;amber;rose,Mint;Lemon,Peony;Jasmine Sambac;Pink Pepper,Cedar;Brown sugar;Labdanum,,,,0,5,11,1,9,2,3.94
giorgio armani,Acqua di Gioia Intense,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gioia-Intense-90952.html,femme,,2024,citrus;fresh;fruity;white floral;musky;woody;rose;powdery;sweet,Citruses;Red Fruits,Jasmine;Damask Rose,Musk;Woodsy Notes,,,,22,246,264,51,246,66,4.04
giorgio armani,Acqua Di Gioia Jasmine,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-Di-Gioia-Jasmine-30621.html,femme,,2015,white floral;green;fruity;fresh;ozonic;sweet;aquatic;citrus;aromatic;musky,Green Apple;Violet Leaf;Lemon;Galbanum,Water Jasmine;Jasmine,Brown sugar;Musk;Cedar,,,,8,77,115,20,105,19,3.75
giorgio armani,Air di Gioia,https://www.fragrantica.com/perfume/Giorgio-Armani/Air-di-Gioia-36599.html,femme,,2016,woody;floral;fresh;citrus;salty;white floral;aromatic;earthy;mossy;fresh spicy,Salt;Neroli;Mandarin Orange,Peony;Orange Blossom;Ylang-Ylang,Cypress;Moss;Patchouli;Cashmere Wood,,,,49,298,404,79,416,61,3.71
giorgio armani,Light di Gioia,https://www.fragrantica.com/perfume/Giorgio-Armani/Light-di-Gioia-54301.html,femme,,2019,white floral;citrus;musky;woody;lactonic,Bergamot,Gardenia;Jasmine,White Musk;Woodsy Notes,,,,36,306,350,94,357,59,3.69
giorgio armani,Ocean di Gioia,https://www.fragrantica.com/perfume/Giorgio-Armani/Ocean-di-Gioia-59809.html,femme,,2020,white floral;green;fresh;fruity;citrus;sweet;musky;aquatic;salty;powdery,Pear;Green Notes;Citruses,Water Jasmine;Lily-of-the-Valley;Salt;Rose,Musk;Sandalwood,,,,102,719,1100,126,958,127,4.12
giorgio armani,Sky di Gioia,https://www.fragrantica.com/perfume/Giorgio-Armani/Sky-di-Gioia-43587.html,femme,,2016,fruity;fresh;rose;floral;tropical;sweet;musky;aquatic,Litchi;Pear,Pink Peony;Rose,White Musk;Blackberry;Cedar,,,,38,342,362,73,390,56,3.75
giorgio armani,Sun di Gioia,https://www.fragrantica.com/perfume/Giorgio-Armani/Sun-di-Gioia-36600.html,femme,,2016,floral;amber;vanilla;tropical;yellow floral;citrus;sweet;powdery;lactonic;musky,Freesia;Bergamot,Frangipani;Ylang-Ylang;Jasmine Sambac,Vanilla;Ambroxan;Benzoin;Iris,,,,96,301,761,229,724,199,3.88
giorgio armani,Terra di Gioia,https://www.fragrantica.com/perfume/Giorgio-Armani/Terra-di-Gioia-66409.html,femme,,2021,floral;sweet;amber;woody;white floral;musky;fruity;citrus;almond;powdery,Pear;Mandarin Orange;Bergamot,Almond Blossom;Jasmine,Amberwood;Musk,,,,135,332,392,374,436,133,3.88
giorgio armani,Armani Attitude,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Attitude-1067.html,homme,,2007,warm spicy;woody;amber;patchouli;coffee;aromatic;lavender;citrus;balsamic;earthy,Coffee;Sicilian Lemon,Lavender;Cardamom,Patchouli;Amber;Opoponax;Chinese Cedar,,,,560,261,120,531,315,658,4.38
giorgio armani,Attitude Extreme,https://www.fragrantica.com/perfume/Giorgio-Armani/Attitude-Extreme-5743.html,homme,,2009,warm spicy;soft spicy;anis;coffee;woody;amber;citrus;aromatic;patchouli;powdery,,,,Star Anise;Coffee;Amber;Cardamom;Amalfi Lemon;Patchouli;Virginia Cedar,,,201,89,39,202,98,250,4.37
giorgio armani,Armani Code,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-412.html,homme,,2004,citrus;leather;anis;soft spicy;floral;tobacco;sweet;aromatic;vanilla;animalic,Lemon;Bergamot,Star Anise;Olive Blossom;Guaiac Wood,Leather;Tonka Bean;Tobacco,,,,4600,2500,1400,4500,2400,5300,4.18
giorgio armani,Armani Code A-List,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-A-List-49501.html,homme,,2018,citrus;aromatic;lavender;woody;vanilla;sweet;amber;fresh spicy,Green Mandarin;Bergamot,Lavender,Tonka Bean;Guaiac Wood,,,,105,107,61,125,101,115,4.12
giorgio armani,Armani Code Absolu,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Absolu-53106.html,homme,,2019,vanilla;powdery;sweet;fresh spicy;citrus;leather;amber;musky;woody,Green Mandarin;Apple,Nutmeg;Orange Blossom;Carrot Seeds,Vanilla;Tonka Bean;Suede;Woody Notes,,,,2800,1100,399,2600,1300,2600,4.40
giorgio armani,Armani Code Absolu Femme,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Absolu-Femme-54302.html,femme,,2019,white floral;vanilla;citrus;tuberose;sweet;powdery,Neroli;Ginger;Mandarin Orange,Tuberose;Orange Blossom;Jasmine,Vanilla;Tonka Bean;Sandalwood,,,,247,139,101,269,199,233,4.01
giorgio armani,Armani Code Absolu Gold,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Absolu-Gold-59334.html,homme,,2020,amber;warm spicy;woody;vanilla;iris;powdery;citrus;fruity;violet;sweet,Mandarin Orange;Green Apple,Iris;Saffron,Tonka Bean;Benzoin;Guaiac Wood;Cedar,,,,330,183,39,319,145,320,4.43
giorgio armani,Armani Code Cashmere,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Cashmere-42278.html,femme,,2017,almond;white floral;powdery;leather;nutty;floral;sweet;fruity;vanilla;smoky,Orange Blossom;Jasmine Sambac,Almond Milk;Heliotrope;Iris,Suede;Leather;Incense;Patchouli,,,,555,120,58,523,258,560,4.17
giorgio armani,Armani Code Casino Limited Edition 2008,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Casino-Limited-Edition-2008-3051.html,homme,,2008,citrus;woody;aromatic;vanilla;fresh spicy;amber,,,,,,,14,8,6,8,6,18,4.30
giorgio armani,Armani Code Colonia,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Colonia-42895.html,homme,,2017,citrus;amber;vanilla;aromatic;sweet;woody;white floral;powdery;soft spicy;warm spicy,Bergamot;Mandarin Orange;Pink Pepper,Orange Blossom;Clary Sage;Amyl Salicylate,Tonka Bean;Amberwood;Heliotrope,,,,194,654,611,415,652,371,3.99
giorgio armani,Armani Code Couture Edition,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Couture-Edition-17126.html,femme,,2012,citrus;sweet;floral;vanilla;fruity;white floral;fresh spicy;honey;leather;woody,Blood Orange;Petitgrain;Pear;Ginger;Bergamot,Orange Blossom;Mirabilis;Osmanthus,Honey;Leather;Vanilla;Tonka Bean;Cedar,,,,21,7,6,17,12,25,4.32
giorgio armani,Armani Code Eau de Parfum,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Eau-de-Parfum-65581.html,homme,Eau de Parfum,2021,vanilla;citrus;aromatic;musky;powdery;lavender;sweet;leather;amber;fresh spicy,Lavender;Lemon;Bergamot,Tonka Bean,Vanilla;Suede;Musk;Cedar,,,,988,827,310,1000,722,1000,4.35
giorgio armani,Armani Code Eau de Parfum (2024),https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Eau-de-Parfum-2024-96540.html,homme,Eau de Parfum,2024,fresh spicy;vanilla;amber;citrus;sweet;aromatic;warm spicy,Green Mandarin,Nutmeg,Tonka Bean,,,,794,672,233,797,621,767,4.29
giorgio armani,Armani Code Eau de Toilette,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Eau-de-Toilette-79263.html,homme,Eau de Toilette,2023,lavender;vanilla;aromatic;woody;citrus;amber;sweet;fresh spicy;warm spicy,Green Mandarin,Lavender,Tonka Bean;Cedar,,,,839,918,701,912,867,836,4.10
giorgio armani,Armani Code Elixir,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Elixir-1738.html,femme,,2007,,,,,,,,91,41,24,75,34,119,4.38
giorgio armani,Armani Code Elixir,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Elixir-106074.html,homme,,2025,leather;animalic;vanilla;amber;alcohol;citrus;smoky;sweet;aromatic,Green Mandarin,Leather;Liquor,Tonka Bean,,,,257,118,32,238,129,239,3.69
giorgio armani,Armani Code Golden Edition,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Golden-Edition-21934.html,homme,,2013,citrus;leather;woody;aromatic;floral;sweet;tobacco;vanilla;animalic;smoky,Bergamot;Lemon,Olive Blossom;Guaiac Wood;Star Anise,Leather;Tonka Bean;Tobacco,,,,,,,,,,3.93
giorgio armani,Armani Code Ice,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Ice-24601.html,homme,,2014,fresh spicy;aromatic;green;citrus;woody;lavender;fresh;herbal,Mint;Ginger;Lemon,Lavender;Geranium;Sage,Woody Notes;Guaiac Wood;Tonka Bean,,,,61,159,191,132,202,147,3.77
giorgio armani,Armani Code Luna,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Luna-14611.html,femme,,2012,citrus;vanilla;sweet;white floral;floral;fruity;aromatic;fresh;fresh spicy;powdery,Bitter Orange;Bergamot;Petitgrain;Pear,Orange Blossom;Osmanthus;Mirabilis,Vanilla;Tonka Bean;Leather;Cedar,,,,200,223,153,268,319,252,3.88
giorgio armani,Armani Code Mirror Edition,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Mirror-Edition-5204.html,femme,,2008,citrus;white floral;sweet;vanilla;honey,Italian Orange;Bitter Orange;Jasmine,Jasmine;Orange Blossom,Vanilla;Honey,,,,3,1,0,2,1,7,3.59
giorgio armani,Armani Code Parfum,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Parfum-75126.html,homme,Parfum,2022,iris;aromatic;powdery;woody;citrus;vanilla;earthy;aldehydic;violet;fresh spicy,Bergamot;Bergamot Leaf,Iris;Aldehydes;Clary Sage;Orris,Tonka Bean;Cedar,,,,3900,3900,2200,4100,3500,3900,4.41
giorgio armani,Armani Code Profumo,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Profumo-34761.html,homme,,2016,amber;vanilla;warm spicy;aromatic;leather;fresh spicy;sweet;animalic;citrus;lavender,Cardamom;Green Apple;Green Mandarin,Nutmeg;Lavender;Orange Blossom,Tonka Bean;Amber;Leather,,,,3000,835,295,2700,1000,2800,4.27
giorgio armani,Armani Code Satin,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Satin-31664.html,femme,,2015,sweet;white floral;vanilla;cacao;warm spicy;citrus;fresh spicy;fresh;fruity;patchouli,Ginger;Sorbet;Pear,Orange Blossom;Neroli;Jasmine,Vanilla;Cacao;Praline;Patchouli,,,,513,134,62,485,284,476,4.14
giorgio armani,Armani Code Sheer,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Sheer-1046.html,femme,,2007,white floral;fresh;floral;musky;woody;citrus,African Orange Flower,Cyclamen;Jasmine;Lily-of-the-Valley,Musk;Woodsy Notes,,,,11,21,24,27,38,28,3.80
giorgio armani,Armani Code Special Blend,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Special-Blend-31954.html,homme,,2015,citrus;woody;anis;aromatic;floral;soft spicy;sweet;tobacco;vanilla;powdery,Neroli;Mandarin Orange;Bergamot,Star Anise;Olive Blossom;Tarragon,Tonka Bean;Guaiac Wood;Tobacco;Cedar,,,,52,30,43,64,40,59,4.34
giorgio armani,Armani Code Sport,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Sport-11649.html,homme,,2011,citrus;aromatic;green;fresh spicy;fresh;aquatic,Mint;Mandarin Orange,Lemon;Ginger flower,Water Notes;Vetiver;Amber,,,,97,494,678,197,675,194,4.08
giorgio armani,Armani Code Sport Athlete,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Sport-Athlete-14936.html,homme,,2012,citrus;fresh spicy;fresh;aromatic;green;aquatic;woody;amber;smoky;earthy,,,,Citruses;Ginger flower;Mint;Water Notes;Vetiver;Incense;Pink Pepper,,,10,100,177,22,168,26,4.45
giorgio armani,Armani Code Sport Edition 2016,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Sport-Edition-2016-39648.html,homme,,2016,aromatic;fresh spicy;citrus;green;amber;woody;fresh;musky,Mint;Peppermint;Sicilian Lemon;Mandarin Orange,Ginger;Geranium,Ambroxan;Rosemary;Vetiver;Labdanum,,,,6,36,41,14,44,14,4.27
giorgio armani,Armani Code Summer pour Femme,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Summer-pour-Femme-5746.html,femme,,2009,white floral;citrus;fresh;aquatic;fresh spicy;sweet;floral;fruity;musky;woody,Water Notes;Bitter Orange;Neroli;Pear,African Orange Flower;Jasmine;Ginger;Cyclamen,Musk;Woodsy Notes;Vanilla,,,,5,26,48,11,43,18,4.06
giorgio armani,Armani Code Summer Pour Femme 2010,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Summer-Pour-Femme-2010-7905.html,femme,,2010,citrus;white floral;fresh;fresh spicy;floral;fruity;sweet;musky;vanilla;woody,Bitter Orange;Neroli;Pear,Ginger;Jasmine;Cyclamen;African Orange Flower,Musk;Vanille;Woodsy Notes,,,,4,35,47,13,53,19,4.07
giorgio armani,Armani Code Summer Pour Femme 2011,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Summer-Pour-Femme-2011-12358.html,femme,,2011,citrus;white floral;fresh;fruity;sweet;fresh spicy;floral;woody;musky;powdery,Bitter Orange;Neroli;Pear,African Orange Flower;Jasmine;Ginger;Cyclamen,Musk;Woodsy Notes;Vanille,,,,6,44,68,8,63,18,3.99
giorgio armani,Armani Code Summer pour Homme,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Summer-pour-Homme-5747.html,homme,,2009,citrus;woody;aromatic;fresh spicy;marine;powdery;amber;musky;rose,Grapefruit;Neroli;Sea water;Bergamot,Rose;Virginia Cedar;Tarragon,Guaiac Wood;Amber;Musk,,,,0,11,25,2,20,4,4.22
giorgio armani,Armani Code Summer Pour Homme 2010,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Summer-Pour-Homme-2010-7906.html,homme,,2010,citrus;aromatic;floral;marine;fresh spicy;woody;rose;powdery;white floral,Neroli;Bergamot;Sea water;Grapefruit,Olive Blossom;Tincture of Rose;Tarragon;Virginia Cedar,Musk;Amber;Guaiac Wood,,,,6,37,50,11,48,16,4.39
giorgio armani,Armani Code Summer Pour Homme 2011,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Summer-Pour-Homme-2011-12357.html,homme,,2011,citrus;woody;aromatic;green;fresh spicy;rose;herbal;amber;floral;marine,Grapefruit;Bergamot;Neroli;Sea water,Olive Leaf;Rose;Tarragon;Virginia Cedar,Amber;Musk;Guaiac Wood;oak moss,,,,2,14,26,5,22,14,4.15
giorgio armani,Armani Code Turquoise for Men,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Turquoise-for-Men-30324.html,homme,,2015,woody;citrus;musky;powdery;white floral;amber;fresh spicy,Neroli;Grapefruit,Olive Tree;Cedar,Musk;Guaiac Wood;Amber,,,,2,29,45,8,42,11,4.11
giorgio armani,Armani Code Turquoise for Women,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Turquoise-for-Women-30323.html,femme,,2015,white floral;citrus;fresh;sweet;fresh spicy;fruity;musky;woody,Orange Blossom;Neroli;Pear,Orange Blossom;Ginger;Jasmine,Orange Blossom;Musk;White Woods;Vanilla,,,,8,87,104,18,119,23,3.88
giorgio armani,Armani Code Ultimate,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Ultimate-15718.html,homme,,2012,vanilla;woody;powdery;sweet;floral;soft spicy;aromatic;anis;amber;citrus,Star Anise;Grapefruit;Mandarin Orange,Heliotrope;Olive Blossom;Cedar;Cypress,Vanilla;Tonka Bean;Guaiac Wood,,,,,,,,,,4.21
giorgio armani,Armani Code Ultimate Femme,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Ultimate-Femme-28001.html,femme,,2014,white floral;citrus;vanilla;coffee;fresh;sweet;fresh spicy;warm spicy;woody;fruity,Bitter Orange;Ginger;Pear,Coffee;Orange Blossom;Jasmine Sambac,Vanilla Bean;Exotic Woods,,,,170,40,22,143,92,162,4.28
giorgio armani,Armani Mania,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Mania-414.html,homme,,2002,woody;citrus;musky;warm spicy;aromatic;powdery;earthy;amber;metallic;green,Mandarin Orange;Saffron;Citrus Leaves,Cedar;Vetiver,Musk;Amber,,,,212,468,427,424,586,305,4.31
